"",sample_order
KOMP_72465,7
KOMP_85374,2
KOMP_85376,1
KOMP_111495,3
KOMP_118598,8
KOMP_118599,11
KOMP_69395,5
KOMP_91834,10
KOMP_115864,9
KOMP_69499,12
KOMP_144610,4
KOMP_144713,6
